disease,pathway_name,jaccard_index
KEGG_HUNTINGTONS_DISEASE,KEGG_BASAL_TRANSCRIPTION_FACTORS,[0.02358490566037736]
KEGG_HUNTINGTONS_DISEASE,KEGG_RNA_POLYMERASE,[0.07106598984771574]
KEGG_HUNTINGTONS_DISEASE,KEGG_PROTEASOME,[0.0]
KEGG_HUNTINGTONS_DISEASE,KEGG_CALCIUM_SIGNALING_PATHWAY,[0.04956268221574344]
KEGG_HUNTINGTONS_DISEASE,KEGG_P53_SIGNALING_PATHWAY,[0.03305785123966942]
KEGG_HUNTINGTONS_DISEASE,KEGG_ENDOCYTOSIS,[0.025423728813559324]
KEGG_HUNTINGTONS_DISEASE,KEGG_APOPTOSIS,[0.026717557251908396]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_MAPK_SIGNALING_PATHWAY,[0.07357859531772576]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_ERBB_SIGNALING_PATHWAY,[0.3177570093457944]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_RAS_SIGNALING_PATHWAY,[0.12307692307692308]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_CALCIUM_SIGNALING_PATHWAY,[0.03111111111111111]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_CELL_CYCLE,[0.052941176470588235]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_P53_SIGNALING_PATHWAY,[0.05172413793103448]
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_PI3K_AKT_SIGNALING_PATHWAY,[0.09473684210526316]
KEGG_PANCREATIC_CANCER,KEGG_MAPK_SIGNALING_PATHWAY,[0.09415584415584416]
KEGG_PANCREATIC_CANCER,KEGG_ERBB_SIGNALING_PATHWAY,[0.1984732824427481]
KEGG_PANCREATIC_CANCER,KEGG_P53_SIGNALING_PATHWAY,[0.045454545454545456]
KEGG_PANCREATIC_CANCER,KEGG_CELL_CYCLE,[0.08333333333333333]
KEGG_PANCREATIC_CANCER,KEGG_PI3K_AKT_SIGNALING_PATHWAY,[0.09923664122137404]
KEGG_PANCREATIC_CANCER,KEGG_APOPTOSIS,[0.145985401459854]
KEGG_PANCREATIC_CANCER,KEGG_TGF_BETA_SIGNALING_PATHWAY,[0.0684931506849315]
KEGG_PANCREATIC_CANCER,KEGG_VEGF_SIGNALING_PATHWAY,[0.18699186991869918]
KEGG_PANCREATIC_CANCER,KEGG_JAK_STAT_SIGNALING_PATHWAY,[0.07655502392344497]
KEGG_PARKINSONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,[0.5595238095238095]
KEGG_PARKINSONS_DISEASE,KEGG_TYROSINE_METABOLISM,[0.005847953216374269]
KEGG_PARKINSONS_DISEASE,KEGG_PROTEASOME,[0.0]
KEGG_PARKINSONS_DISEASE,KEGG_CALCIUM_SIGNALING_PATHWAY,[0.030100334448160536]
KEGG_PARKINSONS_DISEASE,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,[0.03515625]
KEGG_PARKINSONS_DISEASE,KEGG_APOPTOSIS,[0.018779342723004695]
KEGG_PROSTATE_CANCER,KEGG_STEROID_HORMONE_BIOSYNTHESIS,[0.006993006993006993]
KEGG_PROSTATE_CANCER,KEGG_MAPK_SIGNALING_PATHWAY,[0.09202453987730061]
KEGG_PROSTATE_CANCER,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,[0.020172910662824207]
KEGG_PROSTATE_CANCER,KEGG_CELL_CYCLE,[0.07537688442211055]
KEGG_PROSTATE_CANCER,KEGG_P53_SIGNALING_PATHWAY,[0.06802721088435375]
KEGG_PROSTATE_CANCER,KEGG_PI3K_AKT_SIGNALING_PATHWAY,[0.17754569190600522]
KEGG_PROSTATE_CANCER,KEGG_APOPTOSIS,[0.13548387096774195]
KEGG_RENAL_CELL_CARCINOMA,KEGG_CITRATE_CYCLE_TCA_CYCLE,[0.01]
KEGG_RENAL_CELL_CARCINOMA,KEGG_MAPK_SIGNALING_PATHWAY,[0.09061488673139159]
KEGG_RENAL_CELL_CARCINOMA,KEGG_HIF1_SIGNALING_PATHWAY,[0.17763157894736842]
KEGG_RENAL_CELL_CARCINOMA,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,[0.025]
KEGG_RENAL_CELL_CARCINOMA,KEGG_TGF_BETA_SIGNALING_PATHWAY,[0.05405405405405406]
KEGG_RENAL_CELL_CARCINOMA,KEGG_VEGF_SIGNALING_PATHWAY,[0.1774193548387097]
KEGG_THYROID_CANCER,KEGG_PPAR_SIGNALING_PATHWAY,[0.0425531914893617]
KEGG_THYROID_CANCER,KEGG_MAPK_SIGNALING_PATHWAY,[0.03859649122807018]
KEGG_THYROID_CANCER,KEGG_P53_SIGNALING_PATHWAY,[0.021052631578947368]
KEGG_THYROID_CANCER,KEGG_WNT_SIGNALING_PATHWAY,[0.046511627906976744]
KEGG_THYROID_CANCER,KEGG_ADHERENS_JUNCTION,[0.0851063829787234]
KEGG_GLIOMA,KEGG_MAPK_SIGNALING_PATHWAY,[0.08143322475570032]
KEGG_GLIOMA,KEGG_ERBB_SIGNALING_PATHWAY,[0.38181818181818183]
KEGG_GLIOMA,KEGG_CALCIUM_SIGNALING_PATHWAY,[0.08]
KEGG_GLIOMA,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,[0.018518518518518517]
KEGG_GLIOMA,KEGG_CELL_CYCLE,[0.061452513966480445]
KEGG_GLIOMA,KEGG_P53_SIGNALING_PATHWAY,[0.07258064516129033]
KEGG_GLIOMA,KEGG_MTOR_SIGNALING_PATHWAY,[0.15841584158415842]
